画像と映像の基礎,"映像（動画）や画像（静止画）の基礎的性質について解説していく。まず色や形の知覚など人間の視覚特性について概説し、統計量などデジタル画像の基本的事項について説明する。続いて、高能率符号化とその要素技術について解説する。また、デジタルデータとして映像や画像を扱うシステムについて述べ、実用化されてきた方式や機器について概説する。さらに映像の心理効果や感性との関わりについてとりあげた後に将来を展望し、映像や画像とその扱いに関わる基礎的かつ広範な知識の習得をめざす。
"
デザインの基礎,"DTP、マルチメディア、ホームページ制作などに必要において重要な、グラフィックデザインの定石を説明する。主な内容は、デザインの意義、グラフィックデザインの理念、基本的な形状要素とその扱い方、空間的構成、色彩についての定石、文字の扱い方、写真の取り入れ方、著名なグラフィックデザイナーの作品の研究である。
"
MIDI/DAWオペレーションⅠ,"本講義は、音楽制作において重要なアプリであるDAW(Digital Audio Workstation)の使い方を学ぶ。講義では、Vstiを使用するMIDIのnote dataによる録音と、マイクを使用する音声録音の方法に加えてConsoleによるMIX DOWNを学び、制作課題を実施して音楽的な表現力を評価する。DAWの基本的な操作方法を学習して、音楽制作の初歩的能力が身に付くことを目的とする。本講義にて、録音から始まりMIX DOWNに繋がる音楽制作の流れを理解し、DAWを使用して表現豊かな音楽を創ることを目指す。
"
MIDI/DAWオペレーションⅡ,"本講義は、音楽制作において重要なアプリであるDAW(Digital Audio Workstation)の使い方を学ぶ。講義では、MIDIのCC(Control Change)を使用する様々な音楽表現の方法、DAW上でのEffectorの使い方とオーディオの編集方法を学び、制作課題を実施して高度に音楽的な表現力を評価する。本講義にて、DAWの機能を高度に使いこなし、表現力豊かな音楽制作を可能とする能力の習得を目指す。
"
ITパスポート演習,"本講義は、経済産業省が認定するITパスポート検定試験の対策講座である。座学を中心に解説を行い、実際に自身でもPCにてソフトウェア等を操作する実習により、ビジネスで通用するITスキルの習得を目指す。ITパスポート検定試験は、情報処理技術者試験のなかでも最も基本的な知識を問う国家資格である。そのため本講義では、就職活動などにおいても強みとなるITパスポート検定試験の資格を取得することが目的である。パソコン等のIT機器を使用するにあたって、よりよく使いこなせる為の知識習得を目指す。
"
空間芸術論,"空間と芸術の関係を、それぞれの空間の持つ目的、意味、歴史、用途の観点から考察する。日本と西欧の空間の概念の比較を庭と広場を見ることで学ぶ。西洋で都市空間のための新しいアートが誕生した20世紀初頭のアールヌーボー、アールデコに見られる装飾芸術と建築、現代の都市計画に導入されているパブリックアート、近年注目されるストリートアート、現代の作家による前衛的な空間を使ったアートを国内外の事例を通して考察する。
"
アニメプロデュース論,"本講義は、現代のコンテンツビジネスにおいて、グローバル規模でビジネス展開できているアニメ作品の制作における基本的な知識を習得する講義である。本講義では、主に座学を中心に行い、実際に自身でもプレゼンなどが行うことでアニメ制作に関する知見を深める。本講義の目的は、自身でアニメ作品の制作に関わる資料作りなどを行うことにより、アニメ制作における一連の流れを習得する。本講義では、コンテンツビジネスにおける人材育成を目指す。
"
芸術概論,"本講義は、芸術について多角的な視点から総合的に考察する。テーマは、芸術と経済・宗教・文学・メディア・美術・歴史など。講義は座学形式で行う。本講義では、作品と作者、古典と現代、模倣と創造等、あらゆる芸術における基礎的な視点を身につけ、また、「作品物語」が小説、映画、演劇、アニメ、ゲーム等へ形態を変化させながら翻案（アダプテーション）されていく現象を考えることで、受講生の芸術観（芸術を学ぶこと、享受すること、作ること）を養成することを目標とする。
"
美学,"主に西洋哲学に基づく美学の発達の概略を基本概念を抑えながら学ぶとともに、特に①人類最古の絵画といわれる洞窟絵画を通して、人間の本能にある創造の行為の意味するもの、②写真、映像などの複製技術が文化に与えた影響、③東洋と西洋の美の違い、④知覚と知性による美の発見、をテーマに多様なアートの鑑賞を通して何が芸術か、いかに美が芸術と結びつき、また離れていったのか、社会にとって、そして人間にとっての美の意味と役割について考察する。課題として、受講生各自の最高の美についての評論を書き、プレゼンする。
"
人間と色彩,"人間は多くの情報を視覚によって取り込んでいる。中でも色彩は人間の関わるあらゆる分野で広く利用されており、色のない生活は想像できない。本科目では、まず視覚系の構成や色知覚に関する基礎的特性を解説し、色を感じる仕組みがどのように解明されてきたのかを概説する。続いて、色を表すために工夫されたさまざまな表色系について解説する。さらに、主観的な色の見え方や心理効果など、感性情報としての色彩のはたらきとその応用について説明し、色に関する幅広い基礎的知識の習得をめざす。
"
